Date,VIX,SP500,Unemployment,SP500_Return
2015-02-28,15.904210492184289,2171.9181906727044,5.5,5.48925108906233
2015-03-31,14.812727277929133,2134.13526918444,5.4,-1.7396107114219572
2015-04-30,13.494761875697543,2152.319851290078,5.4,0.8520819822535275
2015-05-31,13.3385000705719,2174.9006616917204,5.6,1.0491382304589791
2015-06-30,14.33954551003196,2129.202362399756,5.3,-2.1011671979729973
2015-07-31,14.35272723978216,2171.2371381117173,5.2,1.974202943518488
2015-08-31,19.42809536343529,2035.3593413811623,5.1,-6.258081825586559
2015-09-30,24.3771428607759,1981.5386777228453,5.0,-2.644283128000146
2015-10-31,16.789545449343596,2145.972935266676,5.0,8.298311781266655
2015-11-30,16.209999990463256,2147.0563707133065,5.1,0.0504869110334871
2015-12-31,18.02545473792336,2109.4180752590814,5.0,-1.753018503269255
2016-01-31,23.717894805105107,2002.3960698791495,4.8,-5.07353220469523
2016-02-29,22.516999816894533,1994.1294574213557,4.9,-0.4128360309003542
2016-03-31,15.849090966311367,2125.72428265434,5.0,6.599111444005845
2016-04-30,14.300476255871,2131.4624591337756,5.1,0.2699398283332543
2016-05-31,14.852857044764928,2164.1262741175747,4.8,1.5324602525288444
2016-06-30,17.774545496160332,2166.0976227069796,4.9,0.0910921240124373
2016-07-31,13.158500051498413,2243.2319274638053,4.8,3.5609800753315435
2016-08-31,12.3995652406112,2240.4968828653914,4.9,-0.1219242899019312
2016-09-30,14.219523793175108,2237.7310989357015,5.0,-0.1234451139317305
2016-10-31,14.58523804800851,2194.2616531230155,4.9,-1.942567890903446
2016-11-30,15.236190387180873,2269.2494958868533,4.7,3.4174521829295035
2016-12-31,12.472380956013998,2310.5515668828134,4.7,1.8200762441865856
2017-01-31,11.608500003814695,2351.8742987407795,4.7,1.7884358198382522
2017-02-28,11.530526361967388,2439.3596953623705,4.6,3.719816006681631
2017-03-31,11.897826111834982,2438.410303557044,4.4,-0.0389197135269414
2017-04-30,13.136315847698013,2460.5784006420386,4.4,0.9091208748854608
2017-05-31,10.862272782759232,2489.0626744191604,4.4,1.1576251246328662
2017-06-30,10.513636328957295,2501.044462611971,4.3,0.4813775207812565
2017-07-31,10.264499998092653,2549.4367367400696,4.3,1.934882600110188
2017-08-31,11.97565215566884,2550.8298331550513,4.4,0.0546433019853243
2017-09-30,10.437999963760376,2600.068446740181,4.3,1.9302978562167672
2017-10-31,10.125454512509434,2657.7591166176903,4.2,2.218813506615125
2017-11-30,10.540476163228352,2732.3959766891653,4.2,2.8082627806563343
2017-12-31,10.264500045776368,2759.259884569244,4.1,0.9831630594270502
2018-01-31,17.5,2913.778438105122,4.0,5.6
2018-02-28,16.8,2805.968635895232,4.1,-3.7
2018-03-31,20.6,2735.8194199978516,4.0,-2.5
2018-04-30,16.5,2744.0268782578446,4.0,0.3
2018-05-31,14.4,2809.883523336033,3.8,2.4
2018-06-30,16.1,2823.9329409527127,4.0,0.5
2018-07-31,12.5,2928.4184597679628,3.8,3.7
2018-08-31,13.5,3025.0562689403055,3.8,3.3
2018-09-30,14.2,3043.2066065539475,3.7,0.6
2018-10-31,16.7,2836.2685573082786,3.8,-6.8
2018-11-30,18.4,2892.993928454444,3.8,2.0
2018-12-31,21.6,2632.624474893544,3.9,-9.0
2019-01-31,17.6,2843.234432885028,4.0,8.0
2019-02-28,15.8,2934.217934737349,3.8,3.2
2019-03-31,16.4,2989.9680754973583,3.8,1.9
2019-04-30,13.2,3109.566798517253,3.7,4.0
2019-05-31,14.5,2910.5545234121487,3.6,-6.4
2019-06-30,15.7,3114.2933400509996,3.6,7.0
2019-07-31,13.4,3157.893446811713,3.7,1.4
2019-08-31,16.2,3107.367151662726,3.6,-1.6
2019-09-30,15.9,3166.407127544317,3.5,1.9
2019-10-31,14.2,3236.0680843502923,3.6,2.2
2019-11-30,13.1,3352.566535386903,3.6,3.6
2019-12-31,13.8,3453.14353144851,3.6,3.0
2020-01-31,14.5,3446.237244385613,3.6,-0.2
2020-02-29,23.4,3163.645790345993,3.5,-8.2
2020-03-31,53.5,2771.3537123430897,4.4,-12.4
2020-04-30,46.8,3126.086987523006,14.8,12.8
2020-05-31,33.2,3276.13916292411,13.2,4.8
2020-06-30,30.4,3341.6619461825926,11.0,2.0
2020-07-31,26.3,3528.7950151688174,10.2,5.6
2020-08-31,24.1,3782.8682562609724,8.4,7.2
2020-09-30,26.4,3639.1192625230556,7.8,-3.8
2020-10-31,28.6,3540.863042434933,6.9,-2.7
2020-11-30,25.7,3930.3579771027757,6.7,11.0
2020-12-31,22.8,4079.7115802326816,6.7,3.8
2021-01-31,24.3,4038.914464430354,6.4,-1.0
2021-02-28,22.6,4152.004069434405,6.2,2.8
2021-03-31,19.8,4334.6922484895185,6.1,4.4
2021-04-30,18.6,4564.430937659463,6.1,5.3
2021-05-31,19.2,4596.3819542230785,5.8,0.7
2021-06-30,18.9,4702.098739170208,5.9,2.3
2021-07-31,16.2,4814.949108910294,5.4,2.4
2021-08-31,17.8,4959.397582177602,5.1,3.0
2021-09-30,19.6,4726.305895815255,4.7,-4.7
2021-10-31,17.2,5057.147308522323,4.5,7.0
2021-11-30,18.4,5021.747277362667,4.1,-0.7
2021-12-31,17.9,5247.725904843986,3.9,4.5
2022-01-31,21.5,4969.596431887255,4.0,-5.3
2022-02-28,27.8,4815.538942498751,3.9,-3.1
2022-03-31,22.4,4988.898344428705,3.7,3.6
2022-04-30,23.6,4549.875290118979,3.7,-8.8
2022-05-31,28.7,4558.975040699217,3.6,0.2
2022-06-30,27.5,4176.021137280482,3.6,-8.4
2022-07-31,25.6,4560.215081910288,3.5,9.2
2022-08-31,22.9,4368.6860484700555,3.6,-4.2
2022-09-30,26.3,3962.398245962341,3.5,-9.3
2022-10-31,31.6,4283.35250388529,3.6,8.1
2022-11-30,24.2,4514.653539095097,3.6,5.4
2022-12-31,21.8,4248.288980288486,3.5,-5.9
2023-01-31,18.9,4515.9311860466605,3.5,6.3
2023-02-28,20.4,4407.548837581539,3.6,-2.4
2023-03-31,19.6,4570.628144572056,3.5,3.7
2023-04-30,16.8,4643.758194885209,3.4,1.6
2023-05-31,17.2,4662.333227664751,3.6,0.4
2023-06-30,14.3,4970.047220690624,3.6,6.6
2023-07-31,13.8,5129.088731752725,3.5,3.2
2023-08-31,15.6,5036.7651345811755,3.7,-1.8
2023-09-30,16.2,4789.963642986698,3.7,-4.9
2023-10-31,18.9,4684.58444284099,3.9,-2.2
2023-11-30,13.5,5110.881627139521,3.7,9.1
2023-12-31,12.5,5340.871300360798,3.8,4.5
2024-01-31,13.8,5431.666112466932,3.7,1.7
2024-02-29,14.2,5719.544416427679,3.9,5.3
2024-03-31,13.5,5902.5698377533645,3.9,3.2
2024-04-30,14.8,5654.661904567723,3.9,-4.2
2024-05-31,12.2,5937.394999796109,3.9,5.0
2024-06-30,13.1,6151.141219788769,4.1,3.6
2024-07-31,15.2,6224.954914426235,4.2,1.2
2024-08-31,16.8,6094.230861223284,4.2,-2.1
2024-09-30,15.4,6216.115478447749,4.1,2.0
2024-10-31,17.2,6160.170439141719,4.1,-0.9
2024-11-30,14.6,6511.300154172796,4.2,5.7
2024-12-31,15.8,6667.571357872945,4.1,2.4
